Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,magic_feature
0,3,1,8,4,1,382652,29.125,1,1
0,3,1,26,0,0,347068,7.775,3,1
0,2,1,60,1,1,29750,39,3,1
0,3,1,21,0,0,312992,7.775,3,1
0,1,1,54,0,1,35281,77.2875,3,1
1,1,0,38,0,0,17757,227.525,0,0
1,3,1,29.69911764705882,0,0,367228,7.75,1,0
1,1,1,23,0,1,17759,63.3583,0,0
1,1,0,33,1,0,113806,53.1,3,0
0,3,1,17,0,0,3101274,7.125,3,1
1,1,1,31,1,0,17474,57,3,0
0,1,1,40,0,0,17601,27.7208,0,1
1,2,0,24,1,2,220845,65,3,1
0,3,0,18,0,0,347087,7.775,3,1
1,2,0,24,2,1,243847,27,3,0
0,1,1,45.5,0,0,113043,28.5,3,1
0,2,1,23,0,0,233639,13,3,0
0,3,1,29.69911764705882,8,2,2343,69.55,3,1
0,3,0,17,0,0,2627,14.4583,0,1
